  iShares MSCI Emerging Markets ETF
(EEM) Inception Date:,4/7/2003
Fund Holdings as of,11/15/2013,Holdings are subject to change.
Total Net Assets ($000s),41911539
Number of Securities,822
Stock,99.64%
Cash,0.16%
Other,0.20%
May include dividends booked but not yet received.





CUSIP,ISIN,Sedol,Symbol,Name,% Net Assets,Market Value,Market,Sector,Exchange Rate,Market Price,Shares Held
--,CNE100000593,6706250     ,2328      ,"PICC PROPERTY & CASUALTY -H",0.13,54532046.35,"XHKG","Financials",7.75,1.55,35235200
--,PLPKN0000018,5810066     ,PKN       ,"POLSKI KONCERN NAFTOWY ORLEN",0.13,54370606.19,"XWAR","Energy",3.11,14.48,3754532
--,HK0291001490,6972459     ,291       ,"CHINA RESOURCES ENTERPRISE",0.13,53688572.63,"XHKG","Consumer Staples",7.75,3.46,15504000
--,KYG3066L1014,6333937     ,2688      ,"ENN ENERGY HOLDINGS LTD",0.13,53372192.60,"XHKG","Utilities",7.75,5.81,9186000
--,TRETHAL00019,B1WTMP0     ,HALKB     ,"TURKIYE HALK BANKASI",0.13,53332669.74,"XIST","Financials",2.03,7.55,7059543
--,COB07PA00037,B0B6L81     ,PFBCOLO   ,"BANCOLOMBIA SA-PREF",0.13,53070456.65,"XBOG","Financials",1922.45,13.31,3988476
--,INE155A01022,B611LV1     ,TTMT      ,"TATA MOTORS LTD",0.13,52512992.04,"XNSE","Consumer Discretionary",63.26,6.12,8582798
B0A0GZYU0   ,HK0836012952,6711566     ,836       ,"CHINA RESOURCES POWER HOLDIN",0.13,52438217.14,"XHKG","Utilities",7.75,2.42,21626999
--,MXP2861W1067,2141899     ,KOFL      ,"COCA-COLA FEMSA SAB-SER L",0.12,52350661.75,"XMEX","Consumer Staples",12.96,11.62,4504893
--,BMG1368B1028,6181482     ,1114      ,"BRILLIANCE CHINA AUTOMOTIVE",0.12,52126015.63,"XHKG","Consumer Discretionary",7.75,1.74,29894000
--,CL0000000100,B00R3L2     ,CENCOSUD  ,"CENCOSUD SA",0.12,51764696.85,"XSGO","Consumer Staples",521.13,4.02,12883938
--,INE018A01030,B0166K8     ,LT        ,"LARSEN & TOUBRO LTD",0.12,51659891.43,"XNSE","Industrials",63.26,14.85,3478266
99B1YBRG3   ,BRCMIGACNPR3,B1YBRG0     ,CMIG4     ,"CIA ENERGETICA MINAS GER-PRF",0.12,51590252.83,"XBSP","Utilities",2.31,8.35,6179081
--,KR7004020004,6461850     ,004020    ,"HYUNDAI STEEL CO",0.12,51048359.14,"XKRX","Materials",1063.45,81.15,629054
--,INE075A01022,6206051     ,WPRO      ,"WIPRO LTD",0.12,50692437.98,"XNSE","Information Technology",63.26,7.69,6594291
--,ZAE000067211,B095WZ4     ,IPL       ,"IMPERIAL HOLDINGS LTD",0.12,50689207.28,"XJSE","Consumer Discretionary",10.17,20.17,2513206
84265V105   ,US84265V1052,2823777     ,SCCO      ,"SOUTHERN COPPER CORP",0.12,50635901.16,"XNYS","Materials",1.0,26.91,1881676
--,ZAE000028296,6113485     ,TRU       ,"TRUWORTHS INTERNATIONAL LTD",0.12,50174892.15,"XJSE","Consumer Discretionary",10.17,8.36,6002688
BRSAYEEH8   ,MYL5183OO008,B5KQGT3     ,PCHEM     ,"PETRONAS CHEMICALS GROUP BHD",0.12,50109305.24,"XKLS","Materials",3.2,2.09,23951500
--,CNE1000001W2,6080396     ,914       ,"ANHUI CONCH CEMENT CO LTD-H",0.12,50016234.43,"XHKG","Materials",7.75,3.51,14231500
--,KR7009150004,6771689     ,009150    ,"SAMSUNG ELECTRO-MECHANICS CO",0.12,49994250.85,"XKRX","Information Technology",1063.45,72.12,693173
--,KR7003600004,6988371     ,003600    ,"SK HOLDINGS CO LTD",0.12,49685341.92,"XKRX","Industrials",1063.45,178.66,278094
--,HU0000061726,7320154     ,OTP       ,"OTP BANK PLC",0.12,49542603.19,"XBUD","Financials",221.37,20.32,2437667
--,KR7161390000,B7T5KQ0     ,161390    ,"HANKOOK TIRE CO LTD",0.12,49491872.68,"XKRX","Consumer Discretionary",1063.45,60.93,812224
--,RU000A0JP5V6,B5B1TP4     ,VTBR      ,"VTB BANK OJSC",0.12,49436805.91,"MISX","Financials",32.62,0.00,35839762000
--,RU0008943394,B58ZLT7     ,RTKM      ,"ROSTELECOM",0.12,49173837.33,"MISX","Telecommunication Services",32.62,3.59,13711200
--,CZ0008019106,4519449     ,KOMB      ,"KOMERCNI BANKA AS",0.12,49028006.18,"XPRA","Financials",20.15,227.30,215697
--,BREMBRACNOR4,B16FPG6     ,EMBR3     ,"EMBRAER SA",0.12,48844777.93,"XBSP","Industrials",2.31,7.74,6307300
140062993   ,TRATCELL91M1,B03MYN3     ,TCELL     ,"TURKCELL ILETISIM HIZMET AS",0.12,48703293.44,"XIST","Telecommunication Services",2.03,6.00,8111294
--,INE101A01026,6100186     ,MM        ,"MAHINDRA & MAHINDRA LTD",0.12,48518047.00,"XNSE","Consumer Discretionary",63.26,14.62,3317572
--,TW0002912003,6704986     ,2912      ,"PRESIDENT CHAIN STORE CORP",0.12,48442640.02,"XTAI","Consumer Staples",29.56,6.70,7233000
--,COT13PA00011,2242673     ,GRUPOSUR  ,"GRUPO DE INV SURAMERICANA",0.12,48411464.32,"XBOG","Financials",1922.45,18.78,2578076
--,CL0000000423,2518932     ,LAN       ,"LATAM AIRLINES GROUP SA",0.12,48410685.88,"XSGO","Industrials",521.13,16.41,2950874
--,CNE1000002P4,6560995     ,2883      ,"CHINA OILFIELD SERVICES-H",0.11,48139598.90,"XHKG","Energy",7.75,3.04,15816000
--,KR7001300003,6189538     ,001300    ,"CHEIL INDUSTRIES INC",0.11,48103785.25,"XKRX","Materials",1063.45,82.66,581979
--,CNE1000001Q4,B1W0JF2     ,998       ,"CHINA CITIC BANK CORP LTD-H",0.11,48055892.26,"XHKG","Financials",7.75,0.55,87466800
825719909   ,TH0003010Z12,6609906     ,SCC/F     ,"SIAM CEMENT PUB CO-FOR REG",0.11,48040366.96,"XBKK","Materials",31.63,13.66,3517400
ACI01XLL2   ,MYL5218OO002,B7GJ601     ,SAKP      ,"SAPURAKENCANA PETROLEUM BHD",0.11,47731409.84,"XKLS","Energy",3.2,1.34,35548800
--,BRTIMPACNOR1,2292560     ,TIMP3     ,"TIM PARTICIPACOES SA",0.11,47172816.68,"XBSP","Telecommunication Services",2.31,4.83,9763676
--,TW0002883006,6431756     ,2883      ,"CHINA DEVELOPMENT FINANCIAL",0.11,46932411.29,"XTAI","Financials",29.56,0.29,163811848
99B1YCHL1   ,BRSBSPACNOR5,B1YCHL8     ,SBSP3     ,"CIA SANEAMENTO BASICO DE SP",0.11,46911705.98,"XBSP","Utilities",2.31,10.80,4345624
--,TREBIMM00018,B0D0006     ,BIMAS     ,"BIM BIRLESIK MAGAZALAR AS",0.11,46498425.95,"XIST","Consumer Staples",2.03,21.51,2161964
--,TH0001010R16,6368360     ,BBL-R     ,"BANGKOK BANK PUBLIC CO-NVDR",0.11,46236990.41,"XBKK","Financials",31.63,6.35,7276000
--,ZAE000174124,B844WD0     ,BGA       ,"BARCLAYS AFRICA GROUP LTD",0.11,46203557.04,"XJSE","Financials",10.17,14.39,3210852
--,MX01ME050007,2434760     ,MEXCHEM*  ,"MEXICHEM SAB DE CV-*",0.11,46181712.88,"XMEX","Materials",12.96,4.19,11022492
--,RU0009091573,B59NHY7     ,TRNFP     ,"AK TRANSNEFT OAO-PREF",0.11,45970195.16,"MISX","Energy",32.62,2526.11,18198
--,HK0144000764,6416139     ,144       ,"CHINA MERCHANTS HLDGS INTL",0.11,45718726.15,"XHKG","Industrials",7.75,3.67,12460000
--,MXP495211262,2392471     ,BIMBOA    ,"GRUPO BIMBO SAB- SERIES A",0.11,45443075.95,"XMEX","Consumer Staples",12.96,3.28,13851800
501159909   ,MYL2445OO004,6497446     ,KLK       ,"KUALA LUMPUR KEPONG BHD",0.11,45099778.30,"XKLS","Consumer Staples",3.2,7.28,6198800
--,TRAISCTR91N2,B03MYS8     ,ISCTR     ,"TURKIYE IS BANKASI-C",0.11,44852597.90,"XIST","Financials",2.03,2.57,17458573
--,MXCFFU000001,B671GT8     ,FUNO11    ,"FIBRA UNO ADMINISTRACION SA",0.11,44786610.13,"XMEX","Financials",12.96,3.08,14559300
--,MYL6947OO005,6086242     ,DIGI      ,"DIGI.COM BHD",0.11,44723859.49,"XKLS","Telecommunication Services",3.2,1.50,29839200
--,BRCSNAACNOR6,B019KX8     ,CSNA3     ,"CIA SIDERURGICA NACIONAL SA",0.11,44475563.30,"XBSP","Materials",2.31,5.45,8155028
--,KR7000720003,6450988     ,000720    ,"HYUNDAI ENGINEERING & CONST",0.11,44344212.94,"XKRX","Industrials",1063.45,55.86,793903
--,PLPGER000010,B544PW9     ,PGE       ,"PGE SA",0.11,44302513.11,"XWAR","Utilities",3.11,5.99,7401497
--,CNE100000312,B0PH5N3     ,489       ,"DONGFENG MOTOR GRP CO LTD-H",0.11,44291326.14,"XHKG","Consumer Discretionary",7.75,1.51,29302000
--,KR7053000006,6534268     ,053000    ,"WOORI FINANCE HOLDINGS CO",0.11,44266926.07,"XKRX","Financials",1063.45,11.52,3842910
--,BRCRUZACNOR0,2832148     ,CRUZ3     ,"SOUZA CRUZ SA",0.11,44246934.36,"XBSP","Consumer Staples",2.31,10.36,4269700
--,INE089A01023,6410959     ,DRRD      ,"DR. REDDY'S LABORATORIES",0.11,44192333.92,"XNSE","Health Care",63.26,38.91,1135687
--,KYG810431042,B16YNS1     ,813       ,"SHIMAO PROPERTY HOLDINGS LTD",0.10,43922023.94,"XHKG","Financials",7.75,2.45,17924000
--,MYL5398OO002,6359881     ,GAM       ,"GAMUDA BHD",0.10,43418514.29,"XKLS","Industrials",3.2,1.52,28493400
--,CNE1000006Z4,6099671     ,902       ,"HUANENG POWER INTL INC-H",0.10,43121691.19,"XHKG","Utilities",7.75,1.00,43142000
--,CLP1506A1070,2000257     ,BSAN      ,"BANCO SANTANDER CHILE",0.10,42857131.96,"XSGO","Financials",521.13,0.06,749223300
--,TW0002885001,6424110     ,2885      ,"YUANTA FINANCIAL HOLDING CO",0.10,42717021.32,"XTAI","Financials",29.56,0.52,81475140
--,MXP554091415,2448200     ,PE&amp;OLES*  ,"INDUSTRIAS PENOLES SAB DE CV",0.10,42689475.40,"XMEX","Materials",12.96,26.65,1601968
--,MYL6012OO008,B5387L5     ,MAXIS     ,"MAXIS BHD",0.10,42675757.07,"XKLS","Telecommunication Services",3.2,2.22,19195100
--,TH0016010R14,6364766     ,KBANK-R   ,"KASIKORNBANK PCL-NVDR",0.10,42505409.62,"XBKK","Financials",31.63,5.79,7346700
--,ZAE000132577,B65B4D0     ,VOD       ,"VODACOM GROUP LTD",0.10,42394119.20,"XJSE","Telecommunication Services",10.17,12.70,3338024
--,ZAE000016176,6127936     ,SHF       ,"STEINHOFF INTL HOLDINGS LTD",0.10,42254935.90,"XJSE","Consumer Discretionary",10.17,3.94,10723495
--,ZAE000011953,6636421     ,NTC       ,"NETCARE LTD",0.10,42051125.05,"XJSE","Health Care",10.17,2.37,17743481
ACI00X0N2   ,--,9B0T9T7     ,--,"PTTGC MERGED CO NVDR",0.10,42004961.39,"XBKK","Materials",31.63,2.47,16979130
--,PHY4466S1007,6474494     ,JFC       ,"JOLLIBEE FOODS CORPORATION",0.10,41784247.23,"XPHS","Consumer Discretionary",43.59,4.18,10006409
--,BMG2109G1033,6460794     ,384       ,"CHINA GAS HOLDINGS LTD",0.10,41740238.58,"XHKG","Utilities",7.75,1.16,36040000
161482997   ,KR7005382007,6148272     ,005387    ,"HYUNDAI MOTOR CO LTD-2ND PRF",0.10,41456149.39,"XKRX","Consumer Discretionary",1063.45,120.36,344426
--,TW0002498003,6510536     ,2498      ,"HTC CORP",0.10,41238270.37,"XTAI","Information Technology",29.56,5.14,8020708
996580114   ,TW0002892007,6580119     ,2892      ,"FIRST FINANCIAL HOLDING CO",0.10,41132513.74,"XTAI","Financials",29.56,0.60,68315791
--,MYL3336OO004,6455217     ,IJM       ,"IJM CORP BHD",0.10,41046696.21,"XKLS","Industrials",3.2,1.79,22941020
161007992   ,INE062A01012,6100799     ,SBIN      ,"STATE BANK OF INDIA",0.10,40748127.01,"XNSE","Financials",63.26,27.24,1495982
--,BRBRMLACNOR9,B1RYG58     ,BRML3     ,"BR MALLS PARTICIPACOES SA",0.10,40739044.55,"XBSP","Financials",2.31,8.83,4614300
--,KR7021240007,6173401     ,021240    ,"COWAY CO LTD",0.10,40703407.51,"XKRX","Consumer Discretionary",1063.45,60.28,675289
--,ID1000058407,6230845     ,UNTR      ,"UNITED TRACTORS TBK PT",0.10,40643744.55,"XIDX","Industrials",11619.94,1.62,25121153
--,TW0002474004,6186669     ,2474      ,"CATCHER TECHNOLOGY CO LTD",0.10,40372326.19,"XTAI","Information Technology",29.56,6.00,6724210
--,CNE1000002F5,B1JKTQ6     ,1800      ,"CHINA COMMUNICATIONS CONST-H",0.10,40193209.76,"XHKG","Industrials",7.75,0.81,49704000
--,TRASAHOL91Q5,B03N0C7     ,SAHOL     ,"HACI OMER SABANCI HOLDING",0.10,40029401.18,"XIST","Financials",2.03,4.45,8997095
--,INE860A01027,6294896     ,HCLT      ,"HCL TECHNOLOGIES LTD",0.09,39798903.86,"XNSE","Information Technology",63.26,17.15,2321297
--,PHY806761029,B068DB9     ,SM        ,"SM INVESTMENTS CORP",0.09,39183551.54,"XPHS","Industrials",43.59,17.69,2215065
--,PHY0486V1154,B09JBT3     ,AC        ,"AYALA CORPORATION",0.09,39064600.05,"XPHS","Financials",43.59,13.46,2903036
--,KR7023530009,B0WGPZ5     ,023530    ,"LOTTE SHOPPING CO",0.09,38953902.13,"XKRX","Consumer Discretionary",1063.45,354.51,109882
--,PHY8076N1120,6818843     ,SMPH      ,"SM PRIME HOLDINGS INC",0.09,38938905.58,"XPHS","Financials",43.59,0.40,97649725
--,TW0003008009,6451668     ,3008      ,"LARGAN PRECISION CO LTD",0.09,38834034.90,"XTAI","Information Technology",29.56,33.62,1155000
--,ZAE000018123,6280215     ,GFI       ,"GOLD FIELDS LTD",0.09,38438580.70,"XJSE","Materials",10.17,4.69,8196308
--,TW0009904003,6696157     ,9904      ,"POU CHEN",0.09,38264121.93,"XTAI","Consumer Discretionary",29.56,1.18,32413220
--,KR7011170008,6440020     ,011170    ,"LOTTE CHEMICAL CORP",0.09,38140714.61,"XKRX","Materials",1063.45,200.76,189980
162499990   ,KR7042660001,6211732     ,042660    ,"DAEWOO SHIPBUILDING & MARINE",0.09,38140042.27,"XKRX","Industrials",1063.45,34.75,1097700
--,BRLRENACNOR1,B0CGYD6     ,LREN3     ,"LOJAS RENNER S.A.",0.09,38077057.08,"XBSP","Consumer Discretionary",2.31,27.64,1377800
--,TW0002325008,6808877     ,2325      ,"SILICONWARE PRECISION INDS",0.09,37878850.72,"XTAI","Information Technology",29.56,1.14,33180190
--,INE205A01025,6136040     ,SSLT      ,"SESA STERLITE LTD",0.09,37818447.00,"XNSE","Materials",63.26,3.02,12535473
--,PLBZ00000044,7153639     ,BZW       ,"BANK ZACHODNI WBK SA",0.09,37739178.47,"XWAR","Financials",3.11,121.64,310245
--,CLP0939W1081,2100845     ,CHILE     ,"BANCO DE CHILE",0.09,37460148.92,"XSGO","Financials",521.13,0.15,255621192
--,PLPGNIG00014,B0L9113     ,PGN       ,"POLSKIE GORNICTWO NAFTOWE I",0.09,37453604.69,"XWAR","Energy",3.11,1.85,20240905
--,INE237A01028,6135661     ,KMB       ,"KOTAK MAHINDRA BANK LTD",0.09,36958388.18,"XNSE","Financials",63.26,11.47,3221922
--,TW0001504009,6879851     ,1504      ,"TECO ELECTRIC & MACHINERY",0.09,36787254.25,"XTAI","Industrials",29.56,1.08,34200000
--,HK0000083920,B3MPN59     ,6808      ,"SUN ART RETAIL GROUP LTD",0.09,36741539.89,"XHKG","Consumer Staples",7.75,1.51,24390500
--,PHY0488F1004,6055112     ,ALI       ,"AYALA LAND INC",0.09,36602256.17,"XPHS","Financials",43.59,0.66,55682700
SBBGB5W01   ,ZAE000179420,BBGB5W0     ,GRT       ,"GROWTHPOINT PROPERTIES LTD",0.09,36500870.32,"XJSE","Financials",10.17,2.40,15193506
--,CNE1000004K1,6905808     ,168       ,"TSINGTAO BREWERY CO LTD-H",0.09,36465922.60,"XHKG","Consumer Staples",7.75,8.13,4488000
996534772   ,ZAE000081949,B17BBR6     ,INL       ,"INVESTEC LTD",0.09,36237471.08,"XJSE","Financials",10.17,6.83,5305195
--,HU0000068952,4742494     ,MOL       ,"MOL HUNGARIAN OIL AND GAS PL",0.09,36232474.93,"XBUD","Energy",221.37,65.46,553530
--,BRNATUACNOR6,B014K55     ,NATU3     ,"NATURA COSMETICOS SA",0.09,36108470.22,"XBSP","Consumer Staples",2.31,18.37,1966000
--,INE213A01029,6139362     ,ONGC      ,"OIL & NATURAL GAS CORP LTD",0.09,36080982.60,"XNSE","Energy",63.26,4.27,8450511
--,INE854D01016,6576992     ,UNSP      ,"UNITED SPIRITS LTD",0.09,36058866.24,"XNSE","Consumer Staples",63.26,38.15,945194
--,TW0001402006,6331470     ,1402      ,"FAR EASTERN NEW CENTURY CORP",0.09,35902446.57,"XTAI","Industrials",29.56,1.10,32608356
--,ID1000095706,6687184     ,UNVR      ,"UNILEVER INDONESIA TBK PT",0.09,35832170.68,"XIDX","Consumer Staples",11619.94,2.50,14357500
--,BRFIBRACNOR9,B04M7D3     ,FIBR3     ,"FIBRIA CELULOSE SA",0.09,35788269.12,"XBSP","Materials",2.31,12.56,2849761
--,COG31PA00010,2051181     ,EXITO     ,"ALMACENES EXITO SA",0.09,35651088.50,"XBOG","Consumer Staples",1922.45,16.60,2147161
--,TW0002301009,6519481     ,2301      ,"LITE-ON TECHNOLOGY CORP",0.08,35613779.50,"XTAI","Information Technology",29.56,1.63,21843734
--,MYL6033OO004,6703972     ,PTG       ,"PETRONAS GAS BHD",0.08,35436590.17,"XKLS","Utilities",3.2,7.21,4912800
--,KR7036570000,6264189     ,036570    ,"NCSOFT CORPORATION",0.08,35343215.01,"XKRX","Information Technology",1063.45,193.71,182455
--,TW0004904008,6421854     ,4904      ,"FAR EASTONE TELECOMM CO LTD",0.08,35278096.01,"XTAI","Telecommunication Services",29.56,2.16,16296000
--,KR7001800002,6896849     ,001800    ,"ORION CORP",0.08,35265676.78,"XKRX","Consumer Staples",1063.45,866.99,40676
--,TW0002324001,6225744     ,2324      ,"COMPAL ELECTRONICS",0.08,35232971.99,"XTAI","Information Technology",29.56,0.74,47345908
--,ZAE000145892,B4K90R1     ,LHC       ,"LIFE HEALTHCARE GROUP HOLDIN",0.08,35185494.61,"XJSE","Health Care",10.17,3.92,8985467
--,INE397D01024,6442327     ,BHARTI    ,"BHARTI AIRTEL LTD",0.08,34994885.52,"XNSE","Telecommunication Services",63.26,5.37,6513023
--,TW0009921007,6372167     ,9921      ,"GIANT MANUFACTURING",0.08,34943108.62,"XTAI","Consumer Discretionary",29.56,6.77,5165203
--,CL0000001314,2196015     ,CMPC      ,"EMPRESAS CMPC SA",0.08,34817406.87,"XSGO","Materials",521.13,2.69,12951153
--,KR7090430000,B15SK50     ,090430    ,"AMOREPACIFIC CORP",0.08,34774579.72,"XKRX","Consumer Staples",1063.45,851.00,40863
--,HK3377040226,B24CVP7     ,3377      ,"SINO-OCEAN LAND HOLDINGS",0.08,34457807.06,"XHKG","Financials",7.75,0.64,53974500
--,KYG6320A1004,B4N97J9     ,3697      ,"MSTAR SEMICONDUCTOR INC",0.08,34397965.62,"XTAI","Information Technology",29.56,10.66,3228331
--,KYG3774X1088,B28XTR4     ,3800      ,"GCL-POLY ENERGY HOLDINGS LTD",0.08,34327794.10,"XHKG","Energy",7.75,0.33,103165000
--,KYG245241032,B1VKYN6     ,2007      ,"COUNTRY GARDEN HOLDINGS CO",0.08,34218756.09,"XHKG","Financials",7.75,0.70,49133381
--,KR7010950004,6406055     ,010950    ,"S-OIL CORPORATION",0.08,34102069.94,"XKRX","Energy",1063.45,68.93,494759
--,ID1000106800,6795236     ,SMGR      ,"SEMEN INDONESIA PERSERO TBK",0.08,33452867.39,"XIDX","Materials",11619.94,1.11,30017000
--,ZAE000148466,6349688     ,TFG       ,"THE FOSCHINI GROUP LTD",0.08,33173444.84,"XJSE","Consumer Discretionary",10.17,10.44,3177065
--,KR7068270008,B0C5YV1     ,068270    ,"CELLTRION INC",0.08,33011006.82,"XKOS","Health Care",1063.45,40.43,816408
--,KR7010060002,6497004     ,010060    ,"OCI CO LTD",0.08,32806224.68,"XKRX","Materials",1063.45,177.25,185081
--,TW0001102002,6056331     ,1102      ,"ASIA CEMENT CORP",0.08,32783105.74,"XTAI","Materials",29.56,1.29,25371292
--,ZAE000026951,6820365     ,MPC       ,"MR PRICE GROUP LTD",0.08,32693537.60,"XJSE","Consumer Discretionary",10.17,15.05,2172945
--,TW0002890001,6525875     ,2890      ,"SINOPAC FINANCIAL HOLDINGS",0.08,32606687.36,"XTAI","Financials",29.56,0.49,66942209
--,KR7086280005,B0V3XR5     ,086280    ,"HYUNDAI GLOVIS CO LTD",0.08,32490860.43,"XKRX","Industrials",1063.45,226.15,143669
--,MYL4588OO009,6910824     ,UMWH      ,"UMW HOLDINGS BHD",0.08,32457216.55,"XKLS","Consumer Discretionary",3.2,3.98,8146100
--,TRAYKBNK91N6,B03MZJ6     ,YKBNK     ,"YAPI VE KREDI BANKASI",0.08,32456037.23,"XIST","Financials",2.03,2.16,15021822
--,CNE100000Q35,B433995     ,2238      ,"GUANGZHOU AUTOMOBILE GROUP-H",0.08,32434427.12,"XHKG","Consumer Discretionary",7.75,1.25,26006742
58517T209   ,US58517T2096,B8PQQ77     ,MFON      ,"MEGAFON-REG S GDR",0.08,32277991.68,"XLON-IOE","Telecommunication Services",1.0,33.99,949632
48122U204   ,US48122U2042,B05N809     ,SSA       ,"SISTEMA JSFC-REG S SPONS GDR",0.08,31865221.30,"XLON","Telecommunication Services",1.0,27.70,1150369
--,MYL4162OO003,6752349     ,ROTH      ,"BRITISH AMERICAN TOBACCO BHD",0.08,31824861.83,"XKLS","Consumer Staples",3.2,19.70,1615200
--,COT09PA00035,B8SGSP6     ,GRUPOARG  ,"GRUPO ARGOS SA",0.08,31766827.47,"XBOG","Materials",1922.45,11.01,2886110
--,MX01AC100006,2823885     ,AC*       ,"ARCA CONTINENTAL SAB DE CV",0.08,31608642.50,"XMEX","Consumer Staples",12.96,5.81,5441436
--,CNE1000003K3,6000305     ,358       ,"JIANGXI COPPER CO LTD-H",0.08,31571876.56,"XHKG","Materials",7.75,1.88,16813000
--,KR7000210005,6249584     ,000210    ,"DAELIM INDUSTRIAL CO LTD",0.08,31571822.39,"XKRX","Industrials",1063.45,91.31,345778
--,CNE1000002N9,B0Y91C1     ,3323      ,"CHINA NATIONAL BUILDING MA-H",0.08,31458010.19,"XHKG","Materials",7.75,0.98,32094000
--,TH0023010R10,6359933     ,BAYr      ,"BANK OF AYUDHYA PUBLIC-NVDR",0.08,31433552.15,"XBKK","Financials",31.63,1.22,25824500
--,BRGOAUACNPR8,2648862     ,GOAU4     ,"METALURGICA GERDAU SA-PREF",0.07,31361547.14,"XBSP","Materials",2.31,9.96,3148400
--,TH0101010R14,6410874     ,CPFr      ,"CHAROEN POKPHAND FOODS-NVDR",0.07,31357559.42,"XBKK","Consumer Staples",31.63,0.85,36734800
--,TRATUPRS91E8,B03MYT9     ,TUPRS     ,"TUPRAS-TURKIYE PETROL RAFINE",0.07,31100726.03,"XIST","Energy",2.03,20.77,1497441
--,CNE100000HD4,B4Q2TX3     ,916       ,"CHINA LONGYUAN POWER GROUP-H",0.07,31082625.69,"XHKG","Utilities",7.75,1.23,25236000
--,TH0765010R16,6741206     ,AOT-R     ,"AIRPORTS OF THAILAND PC-NVDR",0.07,31055959.68,"XBKK","Industrials",31.63,6.61,4700000
204448104   ,US2044481040,2210476     ,BVN       ,"CIA DE MINAS BUENAVENTUR-ADR",0.07,31044484.38,"XNYS","Materials",1.0,13.26,2341213
--,TW0002884004,6433912     ,2884      ,"E.SUN FINANCIAL HOLDING CO",0.07,31002907.87,"XTAI","Financials",29.56,0.66,47245076
--,ID1000096605,6727121     ,BBNI      ,"BANK NEGARA INDONESIA PERSER",0.07,30563947.38,"XIDX","Financials",11619.94,0.37,82593276
718252109   ,PH7182521093,6685661     ,TEL       ,"PHILIPPINE LONG DISTANCE TEL",0.07,30562299.73,"XPHS","Telecommunication Services",43.59,64.20,476075
--,ZAE000085346,B1G4262     ,KIO       ,"KUMBA IRON ORE LTD",0.07,30484418.57,"XJSE","Materials",10.17,40.37,755167
--,ID1000057003,6283979     ,INDF      ,"INDOFOOD SUKSES MAKMUR TBK P",0.07,30257931.32,"XIDX","Consumer Staples",11619.94,0.57,53272000
--,KR7011210002,B3LF565     ,011210    ,"HYUNDAI WIA CORP",0.07,30249168.53,"XKRX","Consumer Discretionary",1063.45,181.48,166676
--,ZAE000013181,6761000     ,AMS       ,"ANGLO AMERICAN PLATINUM LTD",0.07,30193317.43,"XJSE","Materials",10.17,41.42,728955
BRD0114W8   ,TREVKFB00019,B0N6YC4     ,VAKBN     ,"TURKIYE VAKIFLAR BANKASI T-D",0.07,30110926.79,"XIST","Financials",2.03,2.27,13271342
--,TW0002207008,6417165     ,2207      ,"HOTAI MOTOR COMPANY LTD",0.07,30092986.04,"XTAI","Consumer Discretionary",29.56,11.03,2729000
--,PHY0967S1694,6074968     ,BPI       ,"BANK OF THE PHILIPPINE ISLAN",0.07,29934885.94,"XPHS","Financials",43.59,2.11,14197084
--,BRKROTACNOR9,2836946     ,KROT3     ,"KROTON EDUCACIONAL SA",0.07,29917199.69,"XBSP","Consumer Discretionary",2.31,16.42,1821800
--,BRLAMEACNPR6,2516710     ,LAME4     ,"LOJAS AMERICANAS SA-PREF",0.07,29657067.19,"XBSP","Consumer Discretionary",2.31,6.98,4249316
--,TH0150010R11,6361466     ,KTBr      ,"KRUNG THAI BANK - NVDR",0.07,29642471.84,"XBKK","Financials",31.63,0.63,47353100
--,TRAKCHOL91Q8,B03MVJ8     ,KCHOL     ,"KOC HOLDING AS",0.07,29510752.85,"XIST","Industrials",2.03,4.53,6517546
--,ZAE000005443,6688068     ,PIK       ,"PICK N PAY STORES LTD",0.07,29483800.63,"XJSE","Consumer Staples",10.17,4.72,6244965
--,MYL5225OO007,B83X6P8     ,IHH       ,"IHH HEALTHCARE BHD",0.07,29389281.50,"XKLS","Health Care",3.2,1.29,22734100
126393990   ,MXP001661018,2639349     ,ASURB     ,"GRUPO AEROPORT DEL SURESTE-B",0.07,29299222.45,"XMEX","Industrials",12.96,12.88,2275000
--,BRTBLEACNOR2,B07C763     ,TBLE3     ,"TRACTEBEL ENERGIA SA",0.07,29171153.88,"XBSP","Utilities",2.31,16.64,1753300
--,KYG3225A1031,B2Q8YL0     ,3333      ,"EVERGRANDE REAL ESTATE GROUP",0.07,29129579.05,"XHKG","Financials",7.75,0.41,71249388
--,BRHYPEACNOR0,B2QY968     ,HYPE3     ,"HYPERMARCAS SA",0.07,29111780.93,"XBSP","Consumer Staples",2.31,8.26,3525100
--,PLTLKPL00017,5552551     ,TPS       ,"TELEKOMUNIKACJA POLSKA SA",0.07,28847732.29,"XWAR","Telecommunication Services",3.11,3.41,8456876
--,CLP8716X1082,2718301     ,SQM/B     ,"SOC QUIMICA Y MINERA CHILE-B",0.07,28839869.63,"XSGO","Materials",521.13,27.06,1065617
--,BRWEGEACNOR0,2945422     ,WEGE3     ,"WEG SA",0.07,28625396.75,"XBSP","Industrials",2.31,13.00,2202100
--,KYG5635P1090,B56KLY9     ,960       ,"LONGFOR PROPERTIES",0.07,28579404.62,"XHKG","Financials",7.75,1.57,18163500
